,Unnamed: 0,filename,path,area,category,num_faces,num_vertices,max_extent,faces_type,axis_aligned_bounding_box,boundingbox_diagonal,has_holes,is_out_low,is_out_high,centroid,centroid_to_origin,boundingbox_distance,pca_pose,fx,fy,fz
100,369.off,369.off,./reduced-normalized-psb-db/369.off,1.7567762555952888,Vase,27212,13606,1.0,triangles,[1.         0.63874116 0.64097309],1.3486425680297067,False,False,False,[-5.45764089e-16 -1.99490575e-16 -1.58136169e-17],5.812959663372079e-16,0.0762845610755926,1.0,716.0036247990128,49.90778885362407,28.443954671756035
117,365.off,365.off,./reduced-normalized-psb-db/365.off,2.6519604489514954,Vase,27028,13514,1.0,triangles,[1.         0.99139041 0.72121446],1.582088884993368,False,False,False,[-1.43126429e-16 -1.98013992e-16  4.35037116e-16],4.989509074777128e-16,0.0598653923672482,1.0,211.88921884906847,89.2442906740419,209.0041815328175
120,56.off,56.off,./reduced-normalized-psb-db/56.off,0.8460418018378039,Glasses,17538,8771,1.0,triangles,[0.99479338 1.         0.31055601],1.4443195329054157,False,False,False,[-6.11119094e-16 -4.41796963e-17 -1.09836524e-16],6.224808865994717e-16,0.263117618379954,1.0,769.7385326201888,5.004239827071584,14.83189769365545
137,49.off,49.off,./reduced-normalized-psb-db/49.off,0.2691133332066547,Glasses,24880,12440,1.0,triangles,[1.         0.42743572 0.18340471],1.1028774087056548,False,False,False,[ 1.54034485e-17  6.31190836e-17 -4.50529328e-16],4.551900261352488e-16,0.1033962361459885,1.0,31.78107231826929,195.30373599491932,10.55607759469386
140,242.off,242.off,./reduced-normalized-psb-db/242.off,0.8566472135441988,Bird,15694,7849,1.0,triangles,[1.         0.69214091 0.41106187],1.2837565565105842,False,False,False,[-1.25189039e-17  1.80068133e-16 -3.25711752e-17],1.8341792934452047e-16,0.0656927421272371,1.0,1.3836142524294368,132.8830509824444,18.74318674641286
157,249.off,249.off,./reduced-normalized-psb-db/249.off,0.3582888892060446,Bird,7424,3714,1.0000000000000002,triangles,[1.         0.48332652 0.19415677],1.127520010885541,False,False,False,[-1.46522863e-18  2.57791585e-16  2.20777958e-18],2.578052027687723e-16,0.0503777556124524,1.0,6.240726804055867,12.380120839098204,5.062427895082669
160,396.off,396.off,./reduced-normalized-psb-db/396.off,0.8464116386094587,FourLeg,11072,5538,1.0,triangles,[1.         0.68696195 0.22778803],1.234424604953396,False,False,False,[-1.10457022e-16  9.48575792e-17 -1.12772720e-17],1.460338686437338e-16,0.0928762661634181,1.0,14.948279820760492,47.0812095356731,0.0286605623247071
177,400.off,400.off,./reduced-normalized-psb-db/400.off,0.7253357086388699,FourLeg,7402,3703,1.0,triangles,[1.         0.64245336 0.29374809],1.224350545943318,False,False,False,[-7.92222339e-17  1.30511156e-17 -1.10063319e-16],1.362366620486413e-16,0.0894900879179469,1.0,29.70797749892172,21.591194486246533,0.1308800412335496
180,157.off,157.off,./reduced-normalized-psb-db/157.off,1.8751540644053564,Table,27762,13883,1.0,triangles,[1.         0.99964387 0.40211265],1.4700280464874087,False,False,False,[-6.49781251e-17 -2.96794028e-17 -5.53963722e-17],9.039790787177928e-17,0.1476965265924661,1.0,9.664006801245757,43.25621111834046,158.3735506692752
197,148.off,148.off,./reduced-normalized-psb-db/148.off,1.9398388719115376,Table,26746,13375,1.0,triangles,[1.         0.99959741 0.30289025],1.4460074256147768,False,False,False,[ 7.54802229e-16 -1.98131350e-16 -9.32905262e-18],7.804290284370801e-16,0.1027039069641287,1.0,0.3350170641075775,11.39578083136162,105.4634102359212
200,80.off,80.off,./reduced-normalized-psb-db/80.off,0.7851110527015503,Airplane,14698,7351,1.0,triangles,[0.90488191 1.         0.28551898],1.378525429198519,False,False,False,[-1.72511351e-18 -4.14156706e-17 -2.85356862e-16],2.883518207890116e-16,0.0843914100046413,1.0,19.07267090089084,2.3193707577027234,14.048433082940464
217,66.off,66.off,./reduced-normalized-psb-db/66.off,0.7429419553387112,Airplane,15474,7739,1.0,triangles,[1.         0.87222025 0.17894762],1.3389512373605743,False,False,False,[4.71171810e-17 2.33339895e-17 1.02609584e-17],5.3570431069692605e-17,0.0882307682877473,1.0,13.39927761914436,0.6549217708988726,1.277392643155685
220,134.off,134.off,./reduced-normalized-psb-db/134.off,1.1167357514226284,Octopus,21860,10932,1.0,triangles,[1.         0.7668166  0.60427639],1.3975541699196885,False,False,False,[ 5.99510529e-18 -2.88760952e-17 -4.05443267e-17],5.013594107728225e-17,0.016852666268361,1.0,70.05511790178936,27.441694763483955,10.041927724942004
237,128.off,128.off,./reduced-normalized-psb-db/128.off,0.5218561064829683,Octopus,12324,6164,1.0,triangles,[1.         0.74189846 0.29276776],1.2791115246436928,False,False,False,[-2.61143118e-16 -1.68854777e-16  1.76671297e-16],3.5765963004458474e-16,0.0659070915816932,1.0,92.76555348107608,10.598749558245364,6.545511670516084
240,309.off,309.off,./reduced-normalized-psb-db/309.off,1.952960571104884,Bust,10390,5197,1.0,triangles,[1.         0.67259869 0.75916465],1.424331412605066,False,False,False,[ 5.52181214e-16 -5.10051642e-17  1.64028444e-16],5.782827595807489e-16,0.0276695493764195,1.0,150.18179805195516,45.90220552636514,82.91473410557798
257,306.off,306.off,./reduced-normalized-psb-db/306.off,1.6610694025799353,Bust,53592,26798,1.0,triangles,[1.         0.76974925 0.53915147],1.372296696909796,False,False,False,[-4.67183659e-16  1.09844518e-17 -1.16544263e-16],4.816261980149055e-16,0.0996914324644025,1.0,441.4495681307812,41.32345543351909,42.63720061028818
260,355.off,355.off,./reduced-normalized-psb-db/355.off,0.4097177967330156,Bearing,29984,14994,1.0,triangles,[1.         0.12471574 0.12484463],1.0154507359363862,False,False,False,[9.28837650e-18 4.46613713e-18 2.71082184e-18],1.0656869794495138e-17,3.657356396712301e-05,1.0,3.594100446093895,0.3169505014733395,0.1559274331690684
277,349.off,349.off,./reduced-normalized-psb-db/349.off,0.4764355874265571,Bearing,20528,10266,1.0,triangles,[1.         0.15489842 0.1550848 ],1.023740600416213,False,False,False,[1.65888719e-15 1.40057121e-17 1.67171618e-17],1.6590305351909905e-15,0.0326636048170782,1.0,507.3396349533656,0.6734948715550462,0.8058547586990223
280,336.off,336.off,./reduced-normalized-psb-db/336.off,1.8743669067620443,Mech,31006,15505,1.0,triangles,[1.         0.77971222 0.7894444 ],1.4937113550329186,False,False,False,[-7.73468976e-17  2.63043080e-16  1.26352216e-18],2.741820579427618e-16,0.156750547320996,1.0,146.5376466663981,4.45489293035763,7.886461937654976
297,329.off,329.off,./reduced-normalized-psb-db/329.off,3.556716254176848,Mech,29994,14999,1.0,triangles,[1.         0.93474149 0.93720973],1.6589465733054387,False,False,False,[-3.34883104e-16 -5.11546787e-18 -1.40813493e-17],3.352180566474514e-16,0.067036593405765,1.0,106.8521680534206,40.1913962966007,18.43855342476435
300,20.off,20.off,./reduced-normalized-psb-db/20.off,0.5779872108110633,Human,31396,15700,1.0,triangles,[1.         0.57287072 0.18955583],1.167952169579196,False,False,False,[ 2.84928523e-16 -1.82892822e-18  1.07877730e-17],2.851385355666853e-16,0.0242545268230774,1.0,327.6856514305599,7.799567443079629,3.068515588379868
317,13.off,13.off,./reduced-normalized-psb-db/13.off,0.7221169283095918,Human,27402,13703,1.0,triangles,[1.         0.51913314 0.23484833],1.1509356855526465,False,False,False,[-6.78475183e-16 -1.60112570e-18 -7.98891346e-18],6.785241044110697e-16,0.0243761630610685,1.0,423.1576206323341,12.86047410413978,4.122974755024404
320,240.off,240.off,./reduced-normalized-psb-db/240.off,0.7051987368387006,Fish,13662,6833,1.0,triangles,[1.         0.42817636 0.38802274],1.1549444313752828,False,False,False,[ 5.29876991e-16 -1.38886266e-17  3.49464175e-16],6.348919035514748e-16,0.0691289468151118,1.0,208.09029755865896,3.0389338690521863,3.132789772044354
337,229.off,229.off,./reduced-normalized-psb-db/229.off,0.5759654264338834,Fish,10486,5245,1.0,triangles,[1.         0.36724732 0.3009574 ],1.1069986246417902,False,False,False,[2.86081962e-16 4.88117329e-17 1.56548732e-18],2.902204765203181e-16,0.0488255203425263,1.0,90.10001828520178,12.731971990417367,0.1502507875667098
340,281.off,281.off,./reduced-normalized-psb-db/281.off,1.1177439511510174,Armadillo,50542,25273,1.0,triangles,[1.         0.89842979 0.45061038],1.4178243158034587,False,False,False,[ 5.58590087e-17 -6.21789204e-17  4.83773096e-17],9.657541649422256e-17,0.0732901878038869,1.0,289.6043879730013,67.32843291405294,52.13747330346264
357,300.off,300.off,./reduced-normalized-psb-db/300.off,1.096673822174526,Armadillo,34902,17453,1.0,triangles,[1.         0.91004457 0.652948  ],1.5015066511966175,False,False,False,[ 1.50980606e-16 -7.38302183e-17  1.18222114e-17],1.6848088696965795e-16,0.0705190352251515,1.0,182.56538082417293,12.090783669011318,17.681119607283776
360,180.off,180.off,./reduced-normalized-psb-db/180.off,1.0925589025266405,Teddy,19092,9548,1.0,triangles,[1.         0.66792809 0.31582923],1.2433326304800218,False,False,False,[-3.95506235e-17 -1.32579675e-17 -8.47374919e-17],9.444822948200558e-17,0.0256722248054398,1.0,4.32087466495177,2.094654538067991,5.433223983080419
377,167.off,167.off,./reduced-normalized-psb-db/167.off,1.371546320412704,Teddy,25290,12647,1.0,triangles,[1.         0.69040382 0.54898267],1.3334314394062134,False,False,False,[-6.39239703e-17 -3.83205391e-18  6.86914654e-16],6.898932524976507e-16,0.0742202974536538,1.0,134.76526208693966,35.61136897892662,34.33892704835234
